Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
100.03      0.01     0.01   100104    99.92    99.92  CompleteBinaryTree<datapoint*>::root()
  0.00      0.01     0.00  1514058     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >::__normal_iterator(datapoint** const&)
  0.00      0.01     0.00   757648     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >::operator*() const
  0.00      0.01     0.00   757015     0.00     0.00  std::vector<datapoint*, std::allocator<datapoint*> >::begin()
  0.00      0.01     0.00   757008     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >::operator+(long const&) const
  0.00      0.01     0.00   757008     0.00     0.00  std::vector<datapoint*, std::allocator<datapoint*> >::operator[](unsigned long)
  0.00      0.01     0.00   425449     0.00     0.00  __gnu_cxx::__normal_iterator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, std::vector<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> > >::__normal_iterator(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >** const&)
  0.00      0.01     0.00   285592     0.00     0.00  std::_Select1st<std::pair<std::string const, int> >::operator()(std::pair<std::string const, int>&) const
  0.00      0.01     0.00   285592     0.00     0.00  std::equal_to<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.01     0.00   285592     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.01     0.00   212723     0.00     0.00  __gnu_cxx::__normal_iterator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, std::vector<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> > >::operator*() const
  0.00      0.01     0.00   212723     0.00     0.00  __gnu_cxx::__normal_iterator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**, std::vector<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> > >::operator+(long const&) const
  0.00      0.01     0.00   212723     0.00     0.00  std::vector<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> >::begin()
  0.00      0.01     0.00   212723     0.00     0.00  std::vector<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> >::operator[](unsigned long)
  0.00      0.01     0.00   200208     0.00     0.00  CompleteBinaryTree<datapoint*>::element(int)
  0.00      0.01     0.00   181033     0.00     0.00  std::_Select1st<std::pair<std::string const, int> >::operator()(std::pair<std::string const, int> const&) const
